,Rota,LinkGoogle,last_geo,address
0,79310596,"https://www.google.com/maps/dir/-19.96063962,-44.02291413/-19.916582+-43.938354/-19.96063962,-44.02291413/@-19.96063962,-44.02291413/am=t","-19.916582,-43.938354","327, Rua São Paulo, Centro, Regional Centro-Sul, Belo Horizonte, Região Geográfica Imediata de Belo Horizonte, Região Metropolitana de Belo Horizonte, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Região Sudeste, 30160-909, Brasil"
1,79348641,"https://www.google.com/maps/dir/-22.27790928,-45.89256412/-21.97625+-44.924934/-21.974024+-44.926605/-21.96965+-44.92874/-21.970236+-44.930916/-21.96672+-44.93123/-21.968683+-44.93379/-21.971+-44.93462/-21.972305+-44.939407/-21.971521+-44.94517/-21.972992+-44.93971/-21.973366+-44.93422/-21.976458+-44.939205/-21.97963+-44.934277/-21.970798+-44.93045/-21.97949+-44.931618/-21.978443+-44.932762/-21.978003+-44.929626/-21.975887+-44.930096/-21.977257+-44.93277/-21.974693+-44.930145/-21.972658+-44.93194/-21.97483+-44.93/-21.970663+-44.917732/-22.27790928,-45.89256412/@-22.27790928,-45.89256412/am=t","-21.970663,-44.917732","Rua Bahia, Alto de Santa Rita, Caxambu, Região Geográfica Imediata de Caxambu - Baependi, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, 37440-000, Brasil"
2,79368010,"https://www.google.com/maps/dir/-19.9520841,-43.4795055/-19.951777+-43.474728/-19.940722+-43.48089/-19.952929+-43.477127/-19.943867+-43.477676/-19.955942+-43.47842/-19.947742+-43.489143/-19.939232+-43.482933/-19.92968+-43.485043/-19.923943+-43.483658/-19.935375+-43.493305/-19.933401+-43.487885/-19.988564+-43.456867/-19.941692+-43.48763/-19.947844+-43.50143/-19.950056+-43.49551/-19.944117+-43.476307/-19.933859+-43.4742/-19.92674+-43.472282/-19.92381+-43.467216/-19.916039+-43.459717/-19.909279+-43.458282/-19.917618+-43.463577/-19.933758+-43.480587/-19.9520841,-43.4795055/@-19.9520841,-43.4795055/am=t","-19.933758,-43.480587","Rua Raimundo Furtado, Irmãos Aleme, Barão de Cocais, Região Geográfica Imediata de Santa Bárbara - Ouro Preto, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Região Sudeste, 35970-000, Brasil"
3,79466129,"https://www.google.com/maps/dir/-19.9520841,-43.4795055/-19.707441+-43.47354/-19.702991+-43.476902/-19.70384+-43.475685/-19.705803+-43.47564/-19.706713+-43.472996/-19.70691+-43.46955/-19.70819+-43.472733/-19.708126+-43.47451/-19.707615+-43.47573/-19.709604+-43.47591/-19.71284+-43.47886/-19.719727+-43.478867/-19.74332+-43.463673/-19.767721+-43.456326/-19.743677+-43.497433/-19.761616+-43.51677/-19.740671+-43.55442/-19.722145+-43.579296/-19.721727+-43.58204/-19.722843+-43.5842/-19.722889+-43.58207/-19.720098+-43.583584/-19.689835+-43.5778/-19.9520841,-43.4795055/@-19.9520841,-43.4795055/am=t","-19.689835,-43.5778","Rua do Mindinho, Nova União, Região Geográfica Imediata de Belo Horizonte, Região Metropolitana de Belo Horizonte, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Região Sudeste, Brasil"
4,79466164,"https://www.google.com/maps/dir/-19.9520841,-43.4795055/-19.668095+-43.685535/-19.691614+-43.596462/-19.662086+-43.579914/-19.686262+-43.58258/-19.687923+-43.58094/-19.665943+-43.68861/-19.668436+-43.688232/-19.66612+-43.688637/-19.664856+-43.693527/-19.661999+-43.693035/-19.665762+-43.69036/-19.688204+-43.58243/-19.65538+-43.697598/-19.68833+-43.584187/-19.684635+-43.586987/-19.685356+-43.58848/-19.688124+-43.587868/-19.712072+-43.60003/-19.663683+-43.689087/-19.687647+-43.582222/-19.668163+-43.688934/-19.687996+-43.588123/-19.687086+-43.582172/-19.9520841,-43.4795055/@-19.9520841,-43.4795055/am=t","-19.687086,-43.582172","Avenida José Afonso Fernandes, Nova União, Região Geográfica Imediata de Belo Horizonte, Região Metropolitana de Belo Horizonte, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Região Sudeste, Brasil"
5,79466185,"https://www.google.com/maps/dir/-19.9520841,-43.4795055/-20.350159+-43.118423/-20.28777+-43.055996/-20.351664+-43.07814/-20.28777+-43.055996/-20.280811+-43.03508/-20.284166+-43.03991/-20.282995+-43.04012/-20.282637+-43.041046/-20.285309+-43.041317/-20.28413+-43.042168/-20.284967+-43.043613/-20.28428+-43.043896/-20.283611+-43.043633/-20.28233+-43.043648/-20.283142+-43.043995/-20.284721+-43.04666/-20.286716+-43.057846/-20.28777+-43.055996/-20.288418+-43.057938/-20.390112+-43.04772/-20.28853+-43.057613/-20.28292+-43.042416/-20.28777+-43.055996/-19.9520841,-43.4795055/@-19.9520841,-43.4795055/am=t","-20.28777,-43.055996","Rua Sinval Caetano da Silva, Barra Longa, Região Geográfica Imediata de Ponte Nova, Região Geográfica Intermediária de Juiz de Fora, Minas Gerais, Região Sudeste, Brasil"
6,79466234,"https://www.google.com/maps/dir/-19.9520841,-43.4795055/-19.92363+-43.48375/-19.935041+-43.474148/-19.93645+-43.481907/-19.940668+-43.47645/-19.930798+-43.485245/-19.941313+-43.476154/-19.932604+-43.487103/-19.92548+-43.487625/-19.933851+-43.47428/-19.930286+-43.474613/-19.930841+-43.472603/-19.923885+-43.472485/-19.934843+-43.47661/-19.923573+-43.465553/-19.91456+-43.45891/-19.852962+-43.444836/-19.863516+-43.45244/-19.85208+-43.44665/-19.85871+-43.451885/-19.85777+-43.447884/-19.859941+-43.452553/-19.936049+-43.481754/-19.86436+-43.45113/-19.9520841,-43.4795055/@-19.9520841,-43.4795055/am=t","-19.86436,-43.45113","Rua Maria José M. Pena, Cocais, Barão de Cocais, Região Geográfica Imediata de Santa Bárbara - Ouro Preto, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Região Sudeste, Brasil"
7,79466269,"https://www.google.com/maps/dir/-19.9520841,-43.4795055/-19.940493+-43.48865/-19.946934+-43.49635/-19.946754+-43.488136/-19.950567+-43.503418/-19.946566+-43.499454/-19.944132+-43.496544/-19.946655+-43.49634/-19.944284+-43.495174/-19.943283+-43.492245/-19.943516+-43.48814/-19.93679+-43.494724/-19.934324+-43.49465/-19.93224+-43.49264/-19.930807+-43.490673/-19.931564+-43.48708/-19.929005+-43.486362/-19.929058+-43.48915/-19.931202+-43.485947/-19.933964+-43.485718/-19.937796+-43.484104/-19.93374+-43.48793/-19.934986+-43.488503/-19.940493+-43.48865/-19.9520841,-43.4795055/@-19.9520841,-43.4795055/am=t","-19.940493,-43.48865","Rua Geraldo Soares, Conjunto Geraldo Magela Pereira, Barão de Cocais, Região Geográfica Imediata de Santa Bárbara - Ouro Preto, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Região Sudeste, 35970-000, Brasil"
8,79466325,"https://www.google.com/maps/dir/-19.9520841,-43.4795055/-20.157234+-43.300095/-19.9520841,-43.4795055/@-19.9520841,-43.4795055/am=t","-20.157234,-43.300095","Rua Basílio Antônio da Costa, Fonseca, Alvinópolis, Região Geográfica Imediata de Ponte Nova, Região Geográfica Intermediária de Juiz de Fora, Minas Gerais, Região Sudeste, Brasil"
9,79466346,"https://www.google.com/maps/dir/-19.9520841,-43.4795055/-19.980865+-43.407867/-19.978376+-43.405746/-19.977268+-43.406178/-19.976091+-43.40644/-19.97454+-43.40852/-19.97485+-43.407288/-19.972809+-43.405514/-19.97347+-43.404697/-19.974384+-43.40431/-19.975185+-43.403416/-19.97457+-43.403473/-19.972193+-43.402992/-19.97132+-43.403004/-19.971186+-43.405216/-19.962332+-43.40105/-19.967901+-43.409237/-19.9520841,-43.4795055/@-19.9520841,-43.4795055/am=t","-19.967901,-43.409237","Rua Alita Duarte Araújo, Santa Bárbara, Região Geográfica Imediata de Santa Bárbara - Ouro Preto, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Região Sudeste, 35960-000, Brasil"
10,79466360,"https://www.google.com/maps/dir/-19.9520841,-43.4795055/-20.020332+-43.475037/-20.006493+-43.474495/-19.969885+-43.413647/-20.008669+-43.474613/-19.97474+-43.41984/-19.992598+-43.42146/-19.964842+-43.413017/-19.986181+-43.415253/-19.959976+-43.40544/-19.98349+-43.41593/-19.959976+-43.40544/-19.988308+-43.454437/-19.981628+-43.427364/-19.984476+-43.453415/-19.964842+-43.413017/-19.972399+-43.4166/-19.95989+-43.414062/-19.986982+-43.454975/-19.962196+-43.4173/-19.990042+-43.45601/-19.96554+-43.413147/-19.990541+-43.454704/-19.97555+-43.410427/-19.9520841,-43.4795055/@-19.9520841,-43.4795055/am=t","-19.97555,-43.410427","Rua Quatro, Santa Bárbara, Região Geográfica Imediata de Santa Bárbara - Ouro Preto, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Região Sudeste, 35960-000, Brasil"
11,79466444,"https://www.google.com/maps/dir/-19.9520841,-43.4795055/-19.824766+-43.36312/-19.82614+-43.35921/-19.82601+-43.3682/-19.817755+-43.356663/-19.843678+-43.290825/-19.828604+-43.35993/-19.82951+-43.352814/-19.826492+-43.36001/-19.830555+-43.37089/-19.825653+-43.363335/-19.8365+-43.348648/-19.832397+-43.35535/-19.836426+-43.347656/-19.8365+-43.348648/-19.843678+-43.290825/-19.840141+-43.351845/-19.825487+-43.3589/-19.846935+-43.29412/-19.82567+-43.359016/-19.828737+-43.359932/-19.817755+-43.356663/-19.846935+-43.29412/-19.839329+-43.32194/-19.9520841,-43.4795055/@-19.9520841,-43.4795055/am=t","-19.839329,-43.32194","BR-381, Chácara Velha, Conta Estória, São Gonçalo do Rio Abaixo, Região Geográfica Imediata de João Monlevade, Região Geográfica Intermediária de Ipatinga, Minas Gerais, Região Sudeste, 35935-000, Brasil"
